职位名称,薪资,工作经验,学历要求,城市,职位标签,技能要求,职位类型,公司名称,公司行业,公司规模,融资阶段,公司ID,BOSS姓名,BOSS职位,BOSS在线,BOSS认证,BOSS ID,职位ID,安全ID,期望ID,列表ID,福利,每周工作天数,最少工作月数,区域,商业区,经度,纬度,是否匿名,是否外地,是否优选,是否代理,是否屏蔽,是否直接投递,图标文字,是否置顶
全栈开发工程师,9-14K·13薪,1-3年,学历不限,杭州,1-3年|学历不限,Java|CSS|Spring/Spring Boot|JavaScript|Vue|MyBatis|全栈无侧重|React,0,为宏智能,互联网,20-99人,未融资,0a774a8253c3e76a0HZ_3di1FA~~,朱才高,技术总监,否,3,31e1e74b77b5cdf50XJ72dm-ElA~,b33663d07283d65903B_0968F1ZY,e8GFgJqJyLkKO-i1W4F6ecWxkDf9_O5WNcpItESKl4R9miSyLTsTq1rI5AJZk1DYUN7CvX0xQdqShknqxI_2Ag5rLkZWZaEsygpvSpXR0Nx1BxuvxzJRzTG01f-_2cx7K0UiQWFAsWQ~,615594290,1yECquUO94v.search.11,,,,,,120.254376,30.311639,否,否,否,否,否,否,,否
全栈开发工程师,16-25K·14薪,1-3年,本科,杭州,1-3年|本科,,0,零跑科技,新能源汽车,10000人以上,已上市,cb22750ada234f751nJ-2di5ElI~,董女士,HR,否,3,543db2979096dcb50nd90tS6ElJY,e340b43660a46e5203J53927ElVQ,1MjquajGJyLaK-x17vat9qZtqU7s5gUjhs8hSwa4QOfsVykMD1Z5oFOU5HbcuwPGA-W-6hb9_To9v6ZwcxryJ1ZX2hGtRt3haTeXqOM-zZaHAGq0AagwdqRh4f4HQ-a9LP3tYq0ru38qiw~~,615594290,1yECquUO94v.search.12,加班补助|定期体检|团建聚餐|年终奖|五险一金|员工旅游|高温补贴|工资不打折|补充医疗保险|额外年休假|带薪年假|餐补,,,滨江区,长河,120.22409,30.208999,否,否,否,否,否,否,,否
杭州-全栈开发,10-15K,5-10年,大专,杭州,5-10年|大专,Java|SpringCloud|MySQL|vue|MyBatis|Redis|Spring,0,耀辰捷,计算机软件,100-499人,,df214cb46a63f3b21HJ53t61F1o~,王先生,高级招聘专员,否,3,97cbaeefc3ca5d670X150ti_FlRX,265b7a2e681f2eba03J-3tq5GFFY,gYhsiE_UreuUX-Z12nKVb0OMgLDYO5pjMa0iWhSQYUFD3dOQtjCln82ZYgzCHw_Jqkj7nUxB1Hv-EbVt_qipAR7R8f59acwPvriTvPDF-TVvuqyqd5UHZlPx6xSoGbiQH79yCLkbosGGKg~~,615594290,1yECquUO94v.search.13,,,,拱墅区,湖墅南路,120.151753,30.279446,否,否,否,否,否,否,,否
Java全栈开发工程师,6-7K,1-3年,本科,杭州,1-3年|本科,Java|物联网经验|不接受居家办公|MySQL|Spring,0,紫鹏科技,智能硬件,20-99人,,250de820cebee12b1XV90tm0GVE~,冯先生,招聘者,否,3,10312c154ae1c9f10n1z39-5FVtW,450de82f343dbf1303Z82du4FVpW,ZMwhjOsMjdJ7N-T1SDNwV5TQKnoE3yw36Bs8S3xIOfhhAWS6sCvGHU3O20aXWhVoCb5L41oD12jb3B-QSQl9pzMxh5dQrQ-lTjybBjq4753YQjVYzx5SIhlqmr0OrsyWOaUThjKVKSMYaQ~~,615594290,1yECquUO94v.search.14,股票期权|餐补|年终奖|团建聚餐|员工旅游|带薪年假|保底工资|绩效奖金|全勤奖|五险一金,,,临平区,星桥,120.254181241646,30.40472293861393,否,否,否,否,否,否,,否
全栈开发工程师,15-30K,3-5年,学历不限,杭州,3-5年|学历不限,Java|不接受居家办公|Python,0,暖阳阳,互联网,20-99人,不需要融资,5439a1b8f033dd8d0HR60tS6FQ~~,王女士,人事,是,3,c31bf4b77fe46d771Xx62t-1FlU~,eba8d7e77c9fa16603R809m1EVJR,EBHF6hAxWFvcO-T1Wk3saFWI9CHBflYEdfO1O_rQmmL-FYEwYtLCtKX3xNOI1yQ2Q4ssI61JYgUVz6IMji5CLB0mn7u-Nw4KvgEQHQzrgTdp3TNXIneLFX2GknviRG3g2EILknO9A36PV4EYoQqzLKh1WhZoUwKr9HUi47i2kb_f6qA~,615594290,1yECquUO94v.search.15,晋升空间大|员工旅游|五险一金|定期体检|带薪年假|节日福利|住房补贴|零食下午茶|年终奖,,,西湖区,西溪,120.068614,30.291206,否,否,否,否,否,否,,否
全栈技术开发（前后端精通）,5000-12000元/月,3-5年,本科,杭州,3-5年|本科,,6,boso,互联网,20-99人,未融资,20e5396aa82d1d3603V_3964,徐女士,招聘者,否,3,2e3d9538f921a91c1XR63Nm6EFs~,e6158c036483362d03By3Ni0EltX,cYsGmpv0T4Uff-K1xsu9QCqjrONuh1dCMVcLvk_tIyHTKDAMtNwPzGFw44hefXF0tT9Eo5ugx7PMy38ncWrH5fOnwoSwyU0-noosRH1lrgvjTuzWIsH00_DWtwgQbvCNvNo29F8eIA~~,615594290,1yECquUO94v.search.16,节日福利|年终奖|带薪年假|零食下午茶|包吃,,,拱墅区,拱宸桥,120.167385,30.326193,否,否,否,否,否,否,,否
全栈工程师（python),10-15K,1-3年,本科,杭州,1-3年|本科,后端开发经验|Django/Flask|全栈侧重后端|Vue|FastApi|前端开发经验|Python|全栈项目经验,0,添遇网络,电子商务,100-499人,,a39a398e3129073b1Xxy2Ni8GVQ~,汪强,人事经理,否,3,6e7103e8dd6a6a580nd82t--EFFW,d2b49a0c8ddf2eca03F62NW9FlpU,QO6hFPx9xEWDU-D1qG2havqgnIX0IhEa2K-PLmBhA6f06_HJW_KZTOImbxzGRgk45wehoKLDFmMR_RjXZEh65SkA0OvaR4VCd2inCo5TIHoB2WiyygiCGfBUdnZZ9VWtYmp0_Xp4IyxXbw~~,615594290,1yECquUO94v.search.17,,,,萧山区,闻堰,120.170203,30.130847,否,否,否,否,否,否,,否
java全栈开发工程师,12-18K,5-10年,大专,杭州,5-10年|大专,,0,玉乐霄科技,互联网,0-20人,,7e8ad3d92ad4cd0603R_29i0GVI~,毛先生,招聘者,否,3,8c4f9106f5d7041a1HV939-6GVM~,0de08cffcedc6a6103J53N65EVFZ,ktiep9j8VF53Q-L1Q9alAXvWLo6zJ_p3LyKo_fXBls4R-whj_0M7eImRfqdZR6f4gY7AK9mmvcJ_q6bqt7bn3S1gN1xaT9JvP94BT7mZTO3r4KyTB4tZvFgVM5-BxOQVFg8KMOJjj1sg,615594290,1yECquUO94v.search.18,,,,滨江区,长河,120.201828,30.183586,否,否,否,否,否,否,,否
AI智能体系统—全栈开发实习生,100-150元/天,,本科,杭州,6天/周|2个月|本科,全栈侧重后端|JavaScript|CSS|TypeScript|Angular|React|Java|C/C++|Python|Node.js|MySQL/Redis/MongoDB|计算机相关专业|全栈项目经验|英语读写能力良好,4,杭州乐晨进出口,电子商务,0-20人,未融资,d0ed3c888ca1fa7f1XBy0tS_E1A~,巢云平,总经理,否,3,90b56de8ba58ae000nN909-6GFRY,8b3cddda138a3e8703F809i_EVJV,-jrsgkj9ox0jJ-v17n2R3vMTO1oVFxDFcEd_8vmKFcHQcaSJszlbBnvQq6odMhBIVBFoT3wKRiFz17847f5v0Om9JJompMauwjn14kGua4vKU0wFchqunnmcI-hEktKm6alh48Yp8y0YUg~~,615594290,1yECquUO94v.search.19,带薪年假|五险一金|底薪加提成|员工旅游|节日福利|团建聚餐|绩效奖金|年终奖,6天/周,2个月,萧山区,北干,120.284688,30.179334,否,否,否,否,否,否,,否
AI全栈开发工程师（实习）,200-250元/天,,本科,杭州,4天/周|6个月|本科,,4,不鸣科技,游戏,100-499人,不需要融资,e8e231e3c5d76e901n1939u_FQ~~,LEE JIAN LONG,HR,是,3,4f397981b108ee2b0n172Nm4EFBV,97eb3ec64d247daf03B_2tu1FVFR,vdLi9BpePNKgr-o159Q1W_i1qbrfqDgwDv155E37Ysecsc6cEqrJ4gTnSoexW2d2_5y4GX10og7t740nFfiD4OEjRaf_q-BbPOdvaUazr-Q9bgMZ-GzBRVGBVEeEnTyUAZZwsCo28Yt2k0gWAdOmQJRzXgOD2zpb84DlzMc-iZOTz-2B,615594290,1yECquUO94v.search.20,法定节假日三薪|节日福利|生日福利|五险一金|团建聚餐|带薪年假|零食下午茶|员工旅游|餐补|年终奖|定期体检|节假日加班费,4天/周,6个月,西湖区,西溪,120.075561,30.291015,否,否,否,否,否,否,,否
