职位名称,薪资,工作经验,学历要求,城市,职位标签,技能要求,职位类型,公司名称,公司行业,公司规模,融资阶段,公司ID,BOSS姓名,BOSS职位,BOSS在线,BOSS认证,BOSS ID,职位ID,安全ID,期望ID,列表ID,福利,每周工作天数,最少工作月数,区域,商业区,经度,纬度,是否匿名,是否外地,是否优选,是否代理,是否屏蔽,是否直接投递,图标文字,是否置顶
java全栈开发工程师,11-18K,1-3年,本科,杭州,1-3年|本科,Java|不接受居家办公|微服务经验|SpringCloud|MySQL|Kafka|react|Spark|Python,0,银信科技,计算机软件,1000-9999人,已上市,8b7a3b8b3703e5761XR50t-0,罗女士,招聘组经理,否,3,7f44b9dfe3534c710Xdy2NS9FVA~,68d8b8dadd462b5e03F92N--ElRQ,-u-Jy4rixaxQV-i1_cSQ9jSafF-_pR3plqCec_Y_QVuTdGUFUL8xmx7O2vmJCZNn0F-vUg_nhYMtxkHXR6pyEuFZPhg3gXlz95_LaPbBwqcmBuySU5OIdSatRuRg4fDvz3W8gZVAPg~~,615594290,1yECquUO94v.search.74,五险一金|带薪年假|定期体检|员工旅游|通讯补贴|年终奖|零食下午茶|补充医疗保险|节日福利|餐补,,,滨江区,浦沿,120.172509,30.186074,否,否,否,否,否,否,,否
初中级nodejs全栈,8-13K,1-3年,学历不限,杭州,1-3年|学历不限,全栈无侧重|JavaScript|HTML|CSS|Vue|Node.js|前端开发经验|后端开发经验,0,杭州冰虎,计算机软件,0-20人,,f64b63a6d559f3b41nN82tS4F1Y~,夏钧,cto,否,3,a2ea1e0db97322091HJ42tW1E1E~,c00d61e75088ef0803J-29W_FlVY,pWoKlKzy3qVZG-Z1TDkjo1f39FyXyNP7H5Y88XsY1Ab44XcRtqTBZCz2LoSKak4VuTKngpli_ascTyxO8vdUc-A7JriZhKKdC3Ft2LXZWAih1LPfvuSygMDqj53lQhHeLttYjtvLg93l,615594290,1yECquUO94v.search.75,,,,余杭区,勾庄,120.12439729178854,30.344877123925773,否,否,否,否,否,否,,否
java高级开发工程师（偏全栈）,20-40K,3-5年,本科,杭州,3-5年|本科,,0,杭州新纵横物流科技,计算机软件,0-20人,未融资,b05a76d7090cadb11Hx429q1GFI~,郑芹芳,招聘者,否,3,1fe9fb997259dbb30HZ52ty_GFFX,b5e4cb70377e519203J829S_GVtY,xah2A4Oev8sxL-31y5OTp-OoysX1k9snKItiTiAHO5a_6WGdQ9m86ig2ApukYtzx7UOEgRBX5hN-XEN82MU86tVyVjB9PhigPrMvOpDfRoLwzNU_0AoC2oy4Z565L3qNkCNlKhsE560zJA~~,615594290,1yECquUO94v.search.76,有无线网|加班补助|保底工资|年终奖|五险一金|法定节假日三薪|绩效奖金|节假日加班费|带薪年假|零食下午茶,,,拱墅区,西湖,120.165698,30.272544,否,否,否,否,否,否,,否
全栈开发,10-15K·20薪,在校/应届,学历不限,杭州,在校/应届|学历不限,Java|JavaScript|SQL|HTML|CSS|Python|Spring|分布式技术,5,多泰科技,医疗健康,20-99人,不需要融资,2e0f42824fca293f1XV_09S1Fg~~,王国胜,HR,否,3,e82fbb01f6c9ba751HZ529S1GVI~,a123082de702f0240HRz3N2-GFM~,hRr09AMJP4mFK-v1ceDDnQCEDz4Y7BTzks7x1EVSQolqBIhcxSuiy17FWsZ55vzmolMD5CMXeTlUeVQfg3KbRtxT2Dtns4ufoEMOwRSTUM543ffbfQ_Dqx8WeeN4vbcrZaDCQZDQew~~,615594290,1yECquUO94v.search.77,五险一金|股票期权|零食下午茶|投资计划|定期全员涨薪|节日福利|员工旅游|餐补|年终奖|包吃|定期体检,,,上城区,火车东站,120.2043,30.2865,否,否,否,否,否,否,,否
高级全栈开发工程师,13-15K,3-5年,本科,杭州,3-5年|本科,CSS|混合app开发经验|Web前端|JavaScript|HTML5|后端|计算机/软件工程相关专业|前端开发经验|混合app,0,掌银物联网,计算机软件,0-20人,,22865d62891f1c991HF939S4FVA~,杨美忠,CTO,否,3,109bc62c9c07c9031nJ729-7GA~~,cf25b73c186aad261HNy0960GVRY,ji_KpmbROAsqh-c1gMIBozvwJ0x6ct19JGzJTx7US4HXklr0CdkasyE-K1peA5FstvVXTN4OtkTDkPzwFO3Q_-w8o3eQH0nFq_1KsOczzsAPKJ9u7cahC5qnjtpIGci7peHekvO-Fb4~,615594290,1yECquUO94v.search.78,,,,西湖区,西溪,120.075561,30.291015,否,否,否,否,否,否,,否
全栈开发工程师,13-18K,3-5年,本科,杭州,3-5年|本科,Java|MySQL|vue|Spring,0,慧博云通,计算机软件,10000人以上,已上市,79c5fb1547ee2c221HZz098~,吴汉,招聘经理,否,3,589095ab30bdcaa40Xdy2d2-F1NZ,976895b3d3c849d503J52d-4FlNV,w6UeY8_zl9lQe-K1vvu-2Sq7G_kT2KQ-xrexZ4uelBv2P2hUHDKjI7PFzTQHKPlv-hey4H30j82KXyyQlqWOd4_GpIG4Gi6ona3lddZx9SXPwKSYN7ne1D8bOEmTtT8w9LqeMvB-Ag~~,615594290,1yECquUO94v.search.79,带薪年假|加班补助|股票期权|五险一金|定期体检|节日福利|补充医疗保险|年终奖,,,萧山区,西兴,120.249081,30.242027,否,否,否,否,否,否,,否
全栈开发,1000-20000元/月,经验不限,学历不限,杭州,经验不限|学历不限,全栈无侧重|Vue|HTML|Java|全栈项目经验,6,迈宁科技有限公司,互联网,0-20人,A轮,810dcefcbf6dfd851XV539u1FVM~,徐阳,总经理,否,3,523d1cac7ad5a8910XB60tW7FFc~,e9412a4c71bd83b01HF82tm0FlBQ,yJOeHESmYcxCh-u1U91E6bwoHUyflqfQyrHJN5shm-PJ-AV_CsYV6r5R5BHwNTCPEvMmCMr8lIU2Z2XURvH7PXPC41lCAWt_sHyO02jTOd1r2A1RXrng-zME-wW6BlyHkS7qcJo3Oow5,615594290,1yECquUO94v.search.80,带薪年假|年终奖|底薪加提成|有无线网|保底工资|股票期权|零食下午茶|团建聚餐|节日福利|绩效奖金|五险一金,,,余杭区,仓前,120.015035,30.284627,否,否,否,否,否,否,,否
全栈工程师,10-15K,经验不限,本科,杭州,经验不限|本科,,0,时光堂,广播/影视,0-20人,未融资,3b03208074bc160233d52NS7Fw~~,方朝元,总监,否,3,90ab5465c2f8440d1XV439u7E1s~,ef1dd815ff951c6d03d53d67F1dR,SerxSAuDSFaV9-_1WCKxuG2RHHgeTgwLeQx3w2VfJCQSGn9SJ8QjF929d-vQiSqQvgJGzcBt5nT3rp1fnS43_Mlo7zESdrTWvwbBuHnRQDxXEmqjVhc9KAWd9bBuhYog3UozWE7RQ0U~,615594290,1yECquUO94v.search.81,五险一金|通讯补贴|年终奖|餐补|员工旅游|节日福利|零食下午茶,,,滨江区,长河,120.204317,30.171375,否,否,否,否,否,否,,否
Java 开发实习 全栈,150-250元/天,,本科,杭州,4天/周|6个月|本科,Java|Python|Spring|MySQL|架构设计经验|提供转正机会|提供实习证明|GIT|Linux|MySQL|HTML|软件工程师|SpringBoot,4,盘陀,电子商务,0-20人,不需要融资,4e95802cddb521c503F62t-6Eg~~,郭丹,招聘者,否,3,6c2ece8c9affb0020Xd729-4EFA~,d85d1ea13b2dd9f51nB_3t66FVBT,LPbpYh8KrGGL4-215nno-X6HX-0nLRtocONvWvhuF6cKCIsfR_NIoGNlFcuZl2_-u7LO5gowO8eUg_cGgILoIiKnDuyg3ImYGoU3_LXix-ihuUZRuZ5HwlWZ3mCSrmCRobG0L0RWRHI~,615594290,1yECquUO94v.search.82,五险一金|年终奖|绩效奖金|保底工资,4天/周,6个月,滨江区,浦沿,120.157782,30.179046,否,否,否,否,否,否,,否
高级全栈开发工程师,300-450元/天,5-10年,本科,杭州,5-10年|本科,Golang|Java|JavaScript|Vue|开发数字人有丰富经验|全栈无侧重|Python|全栈项目经验,6,励得科技,电子商务,0-20人,未融资,2c00be830b75e40003Z90t-4FQ~~,陆先生,总经理,否,3,11441e2adf1673c10XN62dS8EA~~,134861a4c1cf3efa1H163d67FlRQ,6oZrXMv56SLA--p1PHnP8jltV3rR26-kUcV2WyEfM2G-wa5ALktpzI5W0Usu6L6T2y2ExPMWhXDvFOhUc-uHzVlH4wsbs3Xqp4NYm4jjXfJesx6JLRPTFGKuvBsILWFcr_Fc3V9csQ~~,615594290,1yECquUO94v.search.83,五险一金|全勤奖|员工旅游|节日福利,,,钱塘区,工业园南,120.33174,30.304771,否,否,否,否,否,否,,否
全栈开发工程师,12-20K,5-10年,本科,杭州,5-10年|本科,Java|vue|风控/安全策略经验|计算机相关专业,0,邦睿科技,计算机软件,100-499人,C轮,d60714737419403d1nZ52Nq1E1U~,翟女士,人事HR,否,3,a8d6693f7d6559ef0nB_3NW7EFFW,3e7be61dceac8bdf1HB-3tm9FlRW,H1sIUxFMPKzGh-w1tnLaTeeP0S7C5RQGl24tnvUleylKjjial-HyucKzXRemskhNJqsugY8kbY5jer8lPcZEtdCs3VJD0aL3tyfk34ZMxIrgdsgTbEx9bMW-Wlm9gIdoTvdiKxkReG8Tsw~~,615594290,1yECquUO94v.search.84,五险一金|绩效奖金|加班补助|高温补贴|年终奖|住房补贴|通讯补贴|交通补助|生日福利|定期体检|带薪年假|团建聚餐|节日福利|零食下午茶,,,,,120.207139,30.258305,否,否,否,否,否,否,,否
全栈开发工程师,30-60K·15薪,经验不限,本科,杭州,经验不限|本科,全栈无侧重|JavaScript|TypeScript|React|Node.js|MySQL/Redis/MongoDB|计算机相关专业|全栈项目经验|前端开发经验,0,蚂蚁集团,互联网,10000人以上,D轮及以上,4685d74590e9bc881nV43N-4EVo~,徐达峰,资深前端技术专家,否,3,7e14978e5815b93c03V509i-EFc~,980a73678cb6cc1e1HV50tq-ElBY,ASmUyBytrGsQh-71b9BIBgyHlaDRDI-E8r_1A278jSfEeEkw913wYmBsYbxVDoNFsv2Vmf9bp8IGcEcQ0CfZnfFHiTJPwKRgyxMNE7HZluL1Oi7UsmZCbIFkX3IwW2b4Ne_egCApHxId,615594290,1yECquUO94v.search.85,定期体检|免费班车|员工旅游|带薪年假|加班补助|股票期权|全勤奖|零食下午茶|交通补助|餐补|节日福利|五险一金|包吃|通讯补贴|住房补贴|年终奖,,,西湖区,西溪,120.104163,30.262229,否,否,否,否,否,否,,否
全栈开发工程师,8-10K,1-3年,本科,杭州,1-3年|本科,,0,浙江海根,装卸搬运和仓储业,500-999人,,1f3c3ef065ed30a61HBz3Nu8Fls~,张先生,人事主管,否,3,fd8e92457e7364ee0Xd40tW1GVpV,6ece67e9740247f203F_3Nq7FlpV,1UMpExtHS0Tk9-N1GKR6N1ssI1_HM6KGddIQCr-J4sc-Cl_XJXW9UgIO1juSRGycmxgM97xo71K9nJlH0fwQ4p_VrG13cGTsb4sytZX5NZDTN0bZZQsob18BtwEzNSwgmIqGkRrJUgKRwg~~,615594290,1yECquUO94v.search.86,,,,余杭区,仓前,120.029813,30.293169,否,否,否,否,否,否,,否
全栈开发工程师,10-15K,3-5年,本科,杭州,3-5年|本科,Java|后端开发经验|Vue|antdisgn|前端开发经验|全栈项目经验,0,陌远科技,互联网,100-499人,A轮,cd4af9862f0d144f1n1_2Nq5,彭女士,HRM,否,3,5a6dd5dff468e3fc1HJ-0tS4FA~~,c87afeb621afb3601Hx53dW4FFJS,hg85o5hvBP0cT-g149QYBGELJS_ezZxQYI1ErIEwdm-YubffuE4TVJMvAqBJ1hZV2eMNQdLhpC1yDbG4NTTUBrtuKB9bXt_EqLUH5VEjYc87IDDqq78I4UQjFBME6pWmJKpbXleG,615594290,1yECquUO94v.search.87,定期体检|带薪年假|五险一金|零食下午茶|节日福利|年终奖|股票期权|生日福利|夜班补助|团建聚餐|绩效奖金,,,拱墅区,申花,120.115093,30.312093,否,否,否,否,否,否,,否
python全栈开发工程师,10-15K,3-5年,学历不限,杭州,3-5年|学历不限,Python|Java|PyTorch|MySQL|架构设计经验|爬虫经验|量化交易开发经验|AI,0,七华软件,计算机软件,0-20人,天使轮,dca450414f397b001XNz092_EFc~,袁先生,招聘者,否,3,e4d16b4c0b2eccd61Xxy2d2_E1o~,d1c5559599628fc71Hd909-4FFBS,deLEIxeuSSwtb-J1fY-EK818O7IgiuFpShH0zHPSXnPZo3ZEW-tAATvao-FQ703m99fY5aJW6B5bGh2hrMCGySCogBDwyDmBj6gFccC1AOA7fLGUZrxr0faYPDwKTayEvuf8cYX_4pnx,615594290,1yECquUO94v.search.88,股票期权|五险一金,,,滨江区,长河,120.215341,30.219642,否,否,否,否,否,否,,否
全栈工程师,12-17K,3-5年,本科,杭州,3-5年|本科,,0,杭州开企宝智联科技,互联网,20-99人,,719d422cd408d8e003R62t60FlU~,史雪梨,人事经理,否,3,19722ecb661d4e5d0n1y29q9FlFW,d4fa578eeae3925b03J529u6ElpZ,8Uq0HjpHeGAp7-_1UiDOgtcqRF6T5O9uBRNc2h7gP2QRWNNegwVPB7iSMTm147bxJiRCvpfXR-O_mzJUI6a3b4BWkHoLGNeRv8GIOUjorMewtTsl7XkPFJDlD_8GVJXhl8vuxTl5RPrPPQ~~,615594290,1yECquUO94v.search.89,餐补|工龄奖|五险一金,,,滨江区,长河,120.189975,30.192263,否,否,否,否,否,否,,否
高级全栈开发工程师,18-25K,5-10年,本科,杭州,5-10年|本科,TypeScript|C/C++|CSS|全栈侧重后端|Vue|.NET|HTML|计算机相关专业|React|Python|全栈项目经验,0,疆智科技,企业服务,0-20人,,fae65f2423c5decb1Hx42t66GVY~,张志亮,总监,否,3,ad45a6bcb488052d0nR83ty9EVBQ,fb2ea5dd823b3fcb1H1z29W5E1VW,7XeGqTig7qUKq-01ARP30v7ZZPZp0kjeCe21uybRSdtxSiT77HyHduINHU-NPxsvpqliiEDJclAK5B3RCroc1kXjw8SWn6veDFty-4zW9JZA2DOTEE-k0OPcWQhrz2SIL1rN9c77aSVHXw~~,615594290,1yECquUO94v.search.90,,,,滨江区,长河,120.231652,30.205587,否,否,否,否,否,否,,否
全栈开发工程师,10-15K,3-5年,本科,杭州,3-5年|本科,Java|不接受居家办公|MySQL|Spring,0,浙江谦卦,信息安全,20-99人,不需要融资,1ea9f96ce425763c0nB63dS8FA~~,陈美,人事,否,3,7585ddcf22b19ded03d53Nu4GFo~,f6e902e6216d9b6b03F829m1EVFU,fG4692Hqiju9t-C12Lj7OlHJMVQK6IAfqWS4fNcS3z02D5O_XwTvmMXYZAUq9Gvy-E6IWJoLfN-SlAfNG-Z_9fbSMkFImM0AZowxSGhwnMegB2mWHHX5GFTSCEErehpZZpyUpo6jBOE~,615594290,1yECquUO94v.search.91,高温补贴|员工旅游|通讯补贴|团建聚餐|生日福利|带薪年假|年终奖|节日福利|五险一金,,,滨江区,长河,120.195568,30.198899,否,否,否,否,否,否,,否
高级全栈工程师,8-13K,3-5年,大专,杭州,3-5年|大专,App|CSS|后端开发经验|全栈侧重后端|Vue|JavaScript|PHP|全栈项目经验,0,新之星网络科技,互联网,0-20人,未融资,c88b332efe1e4b671HR52d60EFU~,张女士,人事主管,否,3,caaf4934520e74af3nBy2Ny8EFc~,ebdb2cb7e80aedd21Hx63du-FlBZ,pHBdTjlk8IUWV-J1WaWh7Eiy71lJfS0PToXPb7V8V5Ma3qNKjTOCSaarxHbm4DpJg5ourWmBr_Ac1oKwlLWjsGFpK_b1g96C5BSyBijMii7MjACM7l5JflzlEXsSscP5OuyE55vl-irH,615594290,1yECquUO94v.search.92,节日福利|社保福利|保底工资|团建聚餐,,,钱塘区,金沙湖,120.31553,30.308897,否,否,否,否,否,否,,否
RPA开发工程师,4-8K,1年以内,本科,杭州,1年以内|本科,Python|游戏引擎|后端开发|全栈开发|软件工程师|SQL Server,0,数字力量,计算机软件,20-99人,A轮,4a7d9a13655f02ba33Ry29y1Fw~~,龚燕玲,创始人,否,3,470785da42c6ca070XB93Nq9E1Q~,2df9ebdd7616969a1nN_3NS5E1NW,KtNaG8feXPYES-S168TdQp3FZICYEq66M3IUSh05sGQbktt0-4G3fmYRPKn02pu6MBOK_r-4XBxwBr6E6nFe69VbxGWgJqvoYz6X07Xv8S7TAF0XUgbwglas81zd6Zn5q08XgTZxzfQ~,615594290,1yECquUO94v.search.93,住房补贴|交通补助|底薪加提成|绩效奖金|加班补助|节日福利|五险一金|带薪年假|股票期权|保底工资|餐补|年终奖,,,余杭区,五常,120.02424,30.289544,否,否,否,否,否,否,,否
Php+Vue+Uniapp全栈开发,230-400元/天,1-3年,本科,杭州,1-3年|本科,PHP开发经验,6,大渡口区甯沁百货店,批发/零售,0-20人,,8a894f87159a7e1303Zy09W4FVc~,董先生,人事HRBP,否,3,8958bde4edc3dbd503x839m-EFE~,7fb9c9755696547a1Hxy09q5F1RT,0wnfzjORyVl0c-B1N_1K-PiwIjaXGIQh0xUagfNrzhH69Y64c7mcPa1c3oqaZ81lFwYfS-bA1KnjEBs74n1htuJ7U1SJC7CV9KuoYVWk7sHxOYw7kXQ9wBSGK7TTY9UzWlNeMZ44UDlW,615594290,1yECquUO94v.search.94,,,,滨江区,长河,120.203853,30.200758,否,否,否,否,否,否,,否
全栈开发工程师,15-30K·13薪,1-3年,本科,杭州,1-3年|本科,全栈无侧重|Vue|Python|全栈项目经验|计算机相关专业|GPU,0,咸临科技,计算机软件,20-99人,不需要融资,5e45491f70fbd4381XRz3Ny5F1M~,汪女士,人事,否,3,a7f5adf082ba9fd00XZ43Nm_ElRZ,befcb918571b1f4603By39W5E1RY,kiqo6Z3YSaB1z-3192XFijGtdPIqXrqsgw9PaJ2nTgLs7gYW0pEkUI1QBfxGTZxf8FvqvNC793xDM9GkArDYYll84vq-x1TIxItVW9nidV4NEiu4KevSDfTYSctUgdP4Kek5gvUmkHDLAw~~,615594290,1yECquUO94v.search.95,定期体检|年终奖|五险一金|节日福利|带薪年假|餐补|全勤奖,,,余杭区,西溪,120.035331,30.250007,否,否,否,否,否,否,,否
全栈工程师（偏前端）,11-18K,经验不限,本科,杭州,经验不限|本科,Java|JavaScript|Vue|全栈侧重前端|计算机相关专业|React|前端开发经验|英语读写能力良好|Python|全栈项目经验,0,杭州心向无限科技,互联网,0-20人,天使轮,3e66e22dfb9f37bd1XZ43dq7FFU~,汪先生,主管,是,3,fd28e9e95b09516c0Xx70t20FVA~,6aa8e451bf155c5b03F529u9F1RZ,TdbsfQOCb7kNe--1JJbdvpKEAGFmGxJNSd99HXXkLq-BmqGnsHbuANbseu20zu7--fTvu60Lwx3hhf__I490AhIqYkK-ZGCK_pwwEUT6r0jvuK7GPVfNf3PfRf5yB6A2eDUO0C5ft6Xm8iamrTuczJBhmXcyLvpAUY0dJD9YjP6q4zD-,615594290,1yECquUO94v.search.96,五险一金,,,滨江区,长河,120.219209,30.171074,否,否,否,否,否,否,,否
Web应用全栈开发工程师,16-25K,1-3年,本科,杭州,1-3年|本科,Golang|后端开发经验|JavaScript|Vue|全栈无侧重|Node.js|计算机相关专业|前端开发经验|英语读写能力良好|全栈项目经验,0,光年智芯,智能硬件/消费电子,0-20人,,6915de740785e35c03Zz3dS5GVE~,马先生,总经理,否,3,7f0d8c10d72863c60XV73Ny_FlpV,21454edad3c36bef03J53Ni-FlRS,jdrohZ-Vqh0RZ-w1a0oYElkmOxFOGQ1_9fbbLbD7RHw9Blkdb_kOD_iEslSBWx3bz4OvJbUJ3BGUcsx5Q6I3UsajX3eSVFs25SvE8IF6dqyWIfMFbcFXPtljw3s2WdfCsTJzGDsvw5ipyg~~,615594290,1yECquUO94v.search.97,,,,余杭区,仓前,120.0053601033994,30.29330405226862,否,否,否,否,否,否,,否
全栈工程师,14-15K,3-5年,本科,杭州,3-5年|本科,全栈开发,0,链合盛,计算机服务,0-20人,,9412bd0516e03ecf1nBz09--GFc~,舒洪韬,经理,否,3,44f614aa622cb0241nB63d29,1158b3d7727edb851XZ739u_FVRY,awiWBNF9UO7o3-31Z1GC8uoeHfUX760D8gyG7NMj3W3FJNiuokCUSlYt9nos_v-NhFiKQD29yAkNuXLOVUkgLeh-Nrm_hoGIm9mo976XsK7zBq6oXky91f9idnPiC0otqxED9S9Cyw~~,615594290,1yECquUO94v.search.98,,,,滨江区,长河,120.215039,30.179378,否,否,否,否,否,否,,否
全栈开发工程师,8-12K,3-5年,大专,杭州,3-5年|大专,全栈无侧重,0,乾鸿,企业服务,20-99人,不需要融资,6df6121565958b010XV_2t-8Fw~~,徐倩,行政,否,3,c7214135c2dcc9b61XV52d29EFQ~,575f333a6ba15ee403B_2di4GFBV,BxVYFuP2gf9Fs-F13vSgkne6Y1QyoxiZRJzLweffC4xN432uwe6aiWArfVhibmD_0yqvK-pUH8mCsBr4ZMsx2WBBpUirH3-ffb1DiGMtNVOxgkB7Ein0_ZyKj7uwBLKYamHLA0V_7DU~,615594290,1yECquUO94v.search.99,五险一金,,,临平区,临平,120.305685,30.404536,否,否,否,否,否,否,,否
全栈开发工程师,55-80K·16薪,5-10年,本科,杭州,5-10年|本科,全栈侧重后端|Java|Spring/Spring Boot|计算机相关专业|后端开发经验|前端开发经验|C++|全栈开发|DFX架构,0,华为技术有限公司,计算机软件,10000人以上,不需要融资,21124e51a5ea83a80nR80ti8,汪增馨,HR,否,3,32057e7ff85d83721H1729q5E1A~,76d25681d17c1fad1nV43tq9GVtW,G9F1jEmaydmf6-h1tI_KGK_o0zg_1cQEOs-Nr7nqnx9SN-V7RMOgN00bNHWNURURToTlHEEorUcF1NTXwAG6kCH_T1qW2sta3fukJ8WBLZ1xsIs_pGtISvPfwJAKbQ8STplfqFT9rg~~,615594290,1yECquUO94v.search.100,补充医疗保险|带薪年假|生日福利|夜班补助|股票期权|节假日加班费|离职补偿|年终奖|员工旅游|零食下午茶|免费班车|五险一金|保底工资|定期体检|绩效奖金|节日福利|团建聚餐|法定节假日三薪|交通补助|加班补助,,,滨江区,长河,120.203909,30.184684,否,否,否,否,否,否,,否
全栈开发工程师,15-30K,3-5年,本科,杭州,3-5年|本科,Java|Nginx|Spring/Spring Boot|分布式经验|全栈侧重前端|HTML|Dubbo|计算机相关专业|前端开发经验|全栈项目经验|Elasticsearch|Zookeeper|MyBatis,0,信及达国际,物流/仓储,20-99人,未融资,c7960e27468eed981HJy3925Eg~~,陈女士,人事经理HR,否,3,04d5ebf4ea59e82c0nR_3tq5ElFW,b9653d3c84c0bad703F9096_E1FQ,gP2l8TApDBSn1-y10uvQvBHG2vhJA2gCGIaA_ypfIAC_Pz9B5sbgJDKLL3bICj0Tw9s0fW2Y2cdTYHp7mJxeFraaPdr-zAaMapaSlTDsIPNyiGQIE7odirTetxDXOWXdhLYyAPeeaJc4,615594290,1yECquUO94v.search.101,节日福利|工龄奖|员工旅游|意外险|加班补助|团建聚餐|全勤奖|年终奖|零食下午茶|五险,,,西湖区,转塘,120.067904,30.144731,否,否,否,否,否,否,,否
全栈工程师,10-12K,5-10年,本科,杭州,5-10年|本科,全栈无侧重|Vue|Java|Spring/Spring Boot|全栈项目经验,0,蛟驰科技,计算机软件,20-99人,天使轮,674224b7bdc66f9e1HZ42No~,程先生,副总经理,是,3,1ef16e4e0a12e0aa0XV93Nq8Ew~~,06190aa6b7c6308803Zy39S4E1BW,sCh107uhT9SAc-p1Tw4UuI-6GhICMbqo_b5ZJ5CEJYzZVpJBqxhbMl-n1ETKHPd-v2Zaq0sjnc_FqOUSytAbfkp8JLghET8XjT-IYyHdPY2gwAk0soO2cKt4N95R1nnMS1PgkkxarSAYlCegYq6TJoZ8bOwekeiGzYglwx-NeZ8~,615594290,1yECquUO94v.search.102,五险一金|带薪年假,,,西湖区,文三路,120.140454,30.281307,否,否,否,否,否,否,,否
全栈工程师,20-22K,3-5年,大专,杭州,3-5年|大专,Node.js|JavaDjango|FlaskJavaScript|ReactPython,0,添亿互动,广告/公关/会展,20-99人,,5819f4f720dd14141XF50t28E1s~,程女士,人事行政,否,3,bdef2764642078cb03x82dm5F1s~,bf23970f9a77c8c203J439m_FltT,NfrKlei6oPEGW-E1iOyoUVu6OIwz4Z-uClWgVh1rpIc3KB6GLpYkn2sknB2KOC5kdWUUdyNG-IYuIHNGG1pLuihRHCieWXlpbg8LtjeGdFnvwLiWe8ec8CMMXfgL0mJrZc_B2R2CVSN9,615594290,1yECquUO94v.search.103,生日福利|团建聚餐|带薪年假|工龄奖|定期体检|五险一金,,,余杭区,勾庄,120.120104,30.35411,否,否,否,否,否,否,,否
全栈开发,12-18K,1-3年,本科,杭州,1-3年|本科,Java,0,烽景,计算机服务,20-99人,不需要融资,8658ee1c2204c4be1nZ53du9EVA~,王女士,人事,否,3,c8b4a52c2addeba81HB42tW0GVA~,8c1a483934dca25e1nR-09S0GFBY,uVEgIFmV88r1f-91kN-tSw3ABPdC3h1CLBSZR-1TSeMPnRsQGBaktkcygAV9sSAOuTO2Ev8PDCZl0t6oVDc5MVT0EpUJs6psO6jSuOFt1e_ebnPE-6K3JiJ5It8L0QjugdbVQp--VNUN,615594290,1yECquUO94v.search.104,餐补|定期体检|通讯补贴|零食下午茶|带薪年假|五险一金|节日福利|员工旅游|股票期权|交通补助|年终奖,,,拱墅区,万达广场,120.112827,30.337377,否,否,否,否,否,否,,否
Java 全栈开发工程师,12-15K,5-10年,本科,杭州,5-10年|本科,Java开发经验|全栈工程师|Java|不接受居家办公|JavaScript|Spring,0,点微科技,企业服务,20-99人,,0afa75edb5031a703nR909W6FA~~,莫建军,技术经理,否,3,0f265a80811fc5bb0nR43N67GFpS,b6bf3fe36b97ad241HR-3NS0F1pV,MhlM8tDWhccSj-C1sEYs9vXh6uNbJKysssyJyhNJBN16v0zv4IBwLZqrkaU97CgKDnnsepxHkW4czjDCH-brD8G2aRHGy8hgfWgH8ybp4XWUn-w3VdO3Zo5-eY3Rxaw7nWI4cw9Dh7on,615594290,1yECquUO94v.search.105,,,,拱墅区,万达广场,120.12026,30.330557,否,否,否,否,否,否,,否
Java开发实习生-杭州,180-250元/天,,本科,杭州,5天/周|6个月|本科,HTML|SQL|游戏引擎|图形图像处理|软件工程师|后端开发|全栈开发|WEB开发,4,网罗科技,计算机软件,100-499人,,0fbe0e06de03be8b0XB509q9FQ~~,李娜,hr,否,3,a98f8e88f60b87ad33R_29S0GFo~,c084b304c5b054411nx40tW0GVBW,XaljSkHDefJM0-t190Hq3QxoZ_0B1mbFvfKNlT-O5m3qIvaUQmzSTP-QNp-_Rx54Hljt7BiAcCJza02KohJiWkCqL7anaVLD_BNyZTHdOpL9KfmDHwkJ8-FqXaBdEJFOndI_drw5I_o~,615594290,1yECquUO94v.search.106,股票期权|包吃|带薪年假|年终奖|餐补|五险一金,5天/周,6个月,上城区,近江,120.193189,30.229795,否,否,否,否,否,否,,否
python/uniapp兼职全栈开发,1000-1200元/周,3-5年,大专,杭州,3-5年|大专,Vue|uniapp|全栈无侧重|flask|Python|全栈项目经验,6,上海启之迪计算机...,计算机服务,0-20人,,bedee4c3b79a3fe31HR72926GVc~,张旭,ceo,否,3,182f6d2c88d7e56203J-0927Fw~~,6a48bde9052bdb231HZ829S0EFFT,ZLywa0vV4WTYj-Y1UXcaN2T6SyZLtuqUAJ_wdvfCFqUOGvJkc0S37WdmSnf-yF3S66FbKb1R_8XYBe_LkTIz_qqR6M-0YkcjX2W9YZSP2uu3qGvifD4sxH6l5ZO-rhDxeJyLQYBmRI0~,615594290,1yECquUO94v.search.107,,,,西湖区,西溪,120.069598,30.321982,否,否,否,否,否,否,,否
