职位名称,薪资,工作经验,学历要求,城市,职位标签,技能要求,职位类型,公司名称,公司行业,公司规模,融资阶段,公司ID,BOSS姓名,BOSS职位,BOSS在线,BOSS认证,BOSS ID,职位ID,安全ID,期望ID,列表ID,福利,每周工作天数,最少工作月数,区域,商业区,经度,纬度,是否匿名,是否外地,是否优选,是否代理,是否屏蔽,是否直接投递,图标文字,是否置顶
全栈开发工程师,10-15K·13薪,3-5年,大专,杭州,3-5年|大专,TypeScript|Java|C/C++|Spring/Spring Boot|全栈侧重后端|JavaScript|Vue|PHP|HTML|Angular|Python|全栈项目经验,0,华跃晨,电子/半导体/集成电路,0-20人,,a97f76cf2cde0a080XJ73Nu1Ew~~,李恩,总经理,是,3,9d1cf250625f5c2a0nVy2Ni8FFZW,9123a9a43a25a48503J_39u5EFNS,jDPBSp3Riii6G-o1nMaWqDXPmgszKCxoCdjofkhHGR3qaWdyY-2o2sYMqHJJFL8-JGiC0BPi69kCcRKg6lNn6Ea9vFS6onl2L_4z2EMkmoeOf8iUExlzZ_wJBx9yufr9My8W7ddW9M72jPlEj59z-7K7dIEgZTlsi3eX9aZQhb1zjHS-,615594290,1yGQl9q2wIO.search.11,,,,拱墅区,石桥,120.191086,30.328488,否,否,否,否,否,否,,否
AI全栈开发工程师（医疗智能体）,18-25K,5-10年,本科,杭州,5-10年|本科,全栈无侧重|AI|医疗智能体,0,美联控股,医疗器械,100-499人,未融资,d8a7186faa21dfd31Xxz39y_EVQ~,田先生,HRD,否,3,a8ab6f885e1d6c4d1XN62d6-EVE~,1c6184835486bab803J_3d64F1VR,S9-EsyhssWuGP-W1crvoqBtrp58kbRIBlk7lVKYmrBhZ9OYYgabOSP_UBvCQA1mcYdRQnaynHJYkYW_oynP8dqmvR0hbdFuqnCW-jKQZ8GYmhHP4HSMCd_J9v8j8HmXRvl3gW_l4sBmu,615594290,1yGQl9q2wIO.search.12,节日福利|生日福利|带薪年假|工龄奖|绩效奖金|五险一金|团建聚餐|年终奖|高温补贴|夜班补助|定期体检|员工旅游|加班补助|股票期权|节假日加班费,,,萧山区,西兴,120.247566,30.204337,否,否,否,否,否,否,,否
全栈开发工程师,9-14K·13薪,1-3年,学历不限,杭州,1-3年|学历不限,Java|CSS|Spring/Spring Boot|JavaScript|Vue|MyBatis|全栈无侧重|React,0,为宏智能,互联网,20-99人,未融资,0a774a8253c3e76a0HZ_3di1FA~~,朱才高,技术总监,否,3,31e1e74b77b5cdf50XJ72dm-ElA~,b33663d07283d65903B_0968F1ZY,cnMtaTL4BZCmA-x1dqAFYYJnIe__hGRABCO1oalPfOfLPgJC9G6KbzgeHhSQmzn940O-5zln-1fGX7_Q-XA2SMah8wEdLPWVGqlr8OUvPIu8B4DpdNfWDGSCEyvM8E0hOMFAmuz1nfU~,615594290,1yGQl9q2wIO.search.13,,,,,,120.254376,30.311639,否,否,否,否,否,否,,否
杭州-全栈开发,10-15K,5-10年,大专,杭州,5-10年|大专,Java|SpringCloud|MySQL|vue|MyBatis|Redis|Spring,0,耀辰捷,计算机软件,100-499人,,df214cb46a63f3b21HJ53t61F1o~,王先生,高级招聘专员,否,3,97cbaeefc3ca5d670X150ti_FlRX,265b7a2e681f2eba03J-3tq5GFFY,IVvB7m5ju7sZ5-71awMeUmdROdL_sGGDRc4AfO4AE9Z2LqMzxI2bOuNSLm5KvH8LvRuvJV5TXTrAJWxPd8hrEsxI7UvoIX27zzOr7pDUb9c7OLoWl-SxixRlOsC-wy595_LmooTVUp6APg~~,615594290,1yGQl9q2wIO.search.14,,,,拱墅区,湖墅南路,120.151753,30.279446,否,否,否,否,否,否,,否
Java全栈开发工程师,6-7K,1-3年,本科,杭州,1-3年|本科,Java|物联网经验|不接受居家办公|MySQL|Spring,0,紫鹏科技,智能硬件,20-99人,,250de820cebee12b1XV90tm0GVE~,冯先生,招聘者,否,3,10312c154ae1c9f10n1z39-5FVtW,450de82f343dbf1303Z82du4FVpW,LCU4KdI2N8Iy9-81Q0af940JErV45W3pLl_G__obrf_j28Wuv-mhA8kmnzjswTs9DhTzn3X1ftpS08tpyIWjrw_Mkb2ensFSyIBG1gARU_Dk7cHVZhEXH2YH_c8Zr4PtVtr9jCJGy1TfFg~~,615594290,1yGQl9q2wIO.search.15,股票期权|餐补|年终奖|团建聚餐|员工旅游|带薪年假|保底工资|绩效奖金|全勤奖|五险一金,,,临平区,星桥,120.254181241646,30.40472293861393,否,否,否,否,否,否,,否
全栈工程师（python),10-15K,1-3年,本科,杭州,1-3年|本科,后端开发经验|Django/Flask|全栈侧重后端|Vue|FastApi|前端开发经验|Python|全栈项目经验,0,添遇网络,电子商务,100-499人,,a39a398e3129073b1Xxy2Ni8GVQ~,汪强,人事经理,否,3,6e7103e8dd6a6a580nd82t--EFFW,d2b49a0c8ddf2eca03F62NW9FlpU,To5OxbZ1rdo9a-V1MejHmhIo5z-PwyOy_NWMKQ3QBXRWcJZtj0TF8cnioMoItiYmpbrxEbrgkMvWm99WutCCS6B9Fe7bwBMKEiDl4dOESan1Vs5Nl9rZSxdtI3Txk0a1uewEVOiz4tT6jg~~,615594290,1yGQl9q2wIO.search.16,,,,萧山区,闻堰,120.170203,30.130847,否,否,否,否,否,否,,否
AI全栈开发工程师（实习）,200-250元/天,,本科,杭州,4天/周|6个月|本科,,4,不鸣科技,游戏,100-499人,不需要融资,e8e231e3c5d76e901n1939u_FQ~~,LEE JIAN LONG,HR,是,3,4f397981b108ee2b0n172Nm4EFBV,97eb3ec64d247daf03B_2tu1FVFR,iJiVOTpFEvULz-n16pj21Yl2F6yits1DrodsxBMdAl1UsNF5qJI-y0ayOT6th4Zf8IDGwqptuBcnXaMqm5ozmRHViS3Tv2j_Yp8nooELLXds8fE22MdESEhbDwRJiZlMDTXu_coIyMT6_ldLOHZ1YnPyoy1VHv2GUV4iCTDRsX0iIOQE,615594290,1yGQl9q2wIO.search.17,法定节假日三薪|节日福利|生日福利|五险一金|团建聚餐|带薪年假|零食下午茶|员工旅游|餐补|年终奖|定期体检|节假日加班费,4天/周,6个月,西湖区,西溪,120.075561,30.291015,否,否,否,否,否,否,,否
初级全栈工程师,13-20K,经验不限,学历不限,杭州,经验不限|学历不限,后端开发经验|全栈无侧重|前端开发经验|全栈项目经验,0,上海贝津铭科技,人工智能,0-20人,,d8722072caa9966b03Zz29-5E1E~,王培安,招聘者,否,3,3c61cfae969c58dc0HZ73t65EFpW,be040053f389c7b903J42dS5GFtT,3AVmeRAUBizeD-41PkDS8ggRO6yMCVfgbNa_tK0WWdquTh0fI5RZK8XewhuBGhEh6UkFscq-euMTKOQcmZMGjngyl9PmX725SQ-Uqdww65bzdZny3FDrov9vpvCReOV1oAM0Vg36nOrl9g~~,615594290,1yGQl9q2wIO.search.18,,,,滨江区,长河,120.1676,30.193365,否,否,否,否,否,否,,否
全栈工程师（php+vue）（南京）,13-20K,3-5年,学历不限,杭州,3-5年|学历不限,PHP开发经验,0,南京寻优,计算机软件,20-99人,未融资,f1d9ba4d6a1a7a701XR_2Ni4GVs~,张女士,HR,否,3,c2166a4d180554250nd529W7ElNW,e4c1b90119b8f8bf03Fy29y9ElNR,TnBLe6REKkupr-81fH2dERPRIr-4LV67ButvADpt_nlkxnCKNculYxpGSElw-IQhWpo6dmbvmi6Dbq7TNJkgFQABAuxVczIsQkak1gmvv6GNpepTHXwZOtfdK_fm2oAhtOlFah0800PEnw~~,615594290,1yGQl9q2wIO.search.19,带薪年假|补充医疗保险|零食下午茶|定期体检|全勤奖|节日福利|员工旅游|加班补助,,,滨江区,长河,120.180195,30.189665,否,否,否,否,否,否,,否
全栈开发专家,9-11K·13薪,3-5年,学历不限,杭州,3-5年|学历不限,Java|CSS|Spring/Spring Boot|后端开发经验|全栈侧重后端|Vue|计算机相关专业|React|前端开发经验|全栈项目经验|TypeScript|JavaScript|MyBatis|MySQL/Redis/MongoDB,0,中僖控股集团,互联网,20-99人,不需要融资,6b3b3fa81e0fa4471Xd639W7GFE~,张璇璇,人力资源经理,否,3,5b0fd55323d472540Xd839W7F1VU,e439c24787b2c2941H172dm0GVBU,3SzksZVg4V5yV-m1w1vD0qTDESINe4XqwY3zRTJ4ir0_0zwpvdQsSuMB4rf64pkuhLvTnE3XRor0Iysu74W3LyfMWacMOU2aHM7a3bH0LsXGEeQuB7a9PuifU1OZ9w8acTwnVvcL0QkGwg~~,615594290,1yGQl9q2wIO.search.20,员工旅游|带薪年假|意外险|定期体检|节日福利|年终奖|生日福利|团建聚餐|五险一金,,,西湖区,西溪,120.075409,30.289696,否,否,否,否,否,否,,否
Agent全栈开发实习生,200-250元/天,,本科,杭州,5天/周|3个月|本科,全栈无侧重|JavaScript|Vue|React|Java|Python|计算机相关专业|全栈项目经验|Deep Research|sandbox|text to sql|RAG,4,有赞,互联网,1000-9999人,已上市,5fc0c9406d3de0e01H143ti9FFQ~,王茹洁,HRBP,否,3,07ddeaa2d1646c1503B63N--GA~~,ab8987dc9253945903J53d6_GFNR,VqGIXGMgqqSXe-v1gwy7Ybm_RvlLypOOH9N4BN6CU3PrL6C0eSx0rb_fRZYnvtr8RObn5mSXrD-_feYc6uc1aK9iMYrZz2oHoZb1I62Hz0V_7krTH3fG7kkBica7yNOWjVEbode1X2A~,615594290,1yGQl9q2wIO.search.21,带薪年假|节日福利|股票期权|免费班车|零食下午茶|交通补助|通讯补贴|年终奖|五险一金|定期体检|员工旅游,5天/周,3个月,西湖区,西溪,120.086633,30.25657,否,否,否,否,否,否,,否
全栈开发工程师,10-15K,3-5年,本科,杭州,3-5年|本科,全栈侧重前端|React|CSS|TypeScript|计算机相关专业,0,智微信科,医疗健康,100-499人,B轮,6baa23bef1739dd903B70tu0,许女士,hr,否,3,e1a7ef0ab8362b620XRy3N-8GFdS,cfa1ff5d7669caaf03Z92d-9F1FX,Ot2u942oSlMPD-v1jNxkbEH-TVqyo8v0Qg6QBG-yW4eff6VP6qRLTWOWdCjwFdxm_0IR9WKNFkIsxuIX6hBT0htqDO38gnxxsjCHHrNC6kXhLoldM_xqJkJ9olkzxYtOe8Yn7ANGq1I~,615594290,1yGQl9q2wIO.search.22,带薪年假|零食下午茶|五险一金|股票期权|团建聚餐|年终奖|节日福利|生日福利|定期体检|员工旅游,,,,,120.238326,30.183438,否,否,否,否,否,否,,否
java全栈开发工程师,15-25K,3-5年,本科,杭州,3-5年|本科,Java|Tomcat|微服务经验|MySQL|Kafka|MyBatis|SQL Server|架构设计经验|Spring|Oracle,0,龙测,计算机软件,20-99人,A轮,6a52c5b5c73ba6a71HFy3dm-GQ~~,梁女士,GMA,否,3,1195da1df4cc94b83nZz3Nm4EFE~,0b645dad9767c56003R_2di7GFRQ,g0yerMY4-1XtA-41vQQBmj-6ODKmM1XvN26WLusrbSR6M39iD9CRYbXrtOg7zwuN6YaarPRF8msz3ssCyReW0A88XZwGGobje28FxZ3XPZCgde6tp5CvgOcGboapEYlwe-zyd4aYc-A~,615594290,1yGQl9q2wIO.search.23,五险一金|带薪年假|零食下午茶|年终奖|员工旅游|节日福利|加班补助|股票期权|定期体检|补充医疗保险,,,萧山区,钱江世纪城,120.239876,30.239141,否,否,否,否,否,否,,否
