索引,类型,职位名称,公司名称,城市,薪资,工作经验,学历要求,URL
9,职位详情,java全栈开发工程师（支持远程）,杭州新榆科技,杭州,50-100元/时,经验不限,学历不限,https://www.zhipin.com/job_detail/e9ab85328f09be1f03B93tS9GVVW.html?securityId=9xJNKILfTdsjq-r1xobfGlQJvwSo5_lgMCzicAf-eNxXuJoniwD1CtVrp75szsdZQORtDQD93RYuchpk9qr99NBd9XEjq3RqcbWFP55cgMKJ4itUYBciY51nOTGXT7g_j9frHPS7HOED&ka=search-list-1yGQl9q2wIO.search.10
10,职位详情,全栈开发工程师,华跃晨,杭州,10-15K·13薪,3-5年,大专,https://www.zhipin.com/job_detail/9123a9a43a25a48503J_39u5EFNS.html?securityId=jDPBSp3Riii6G-o1nMaWqDXPmgszKCxoCdjofkhHGR3qaWdyY-2o2sYMqHJJFL8-JGiC0BPi69kCcRKg6lNn6Ea9vFS6onl2L_4z2EMkmoeOf8iUExlzZ_wJBx9yufr9My8W7ddW9M72jPlEj59z-7K7dIEgZTlsi3eX9aZQhb1zjHS-&ka=search-list-1yGQl9q2wIO.search.11
11,职位详情,AI全栈开发工程师（医疗智能体）,美联控股,杭州,18-25K,5-10年,本科,https://www.zhipin.com/job_detail/1c6184835486bab803J_3d64F1VR.html?securityId=S9-EsyhssWuGP-W1crvoqBtrp58kbRIBlk7lVKYmrBhZ9OYYgabOSP_UBvCQA1mcYdRQnaynHJYkYW_oynP8dqmvR0hbdFuqnCW-jKQZ8GYmhHP4HSMCd_J9v8j8HmXRvl3gW_l4sBmu&ka=search-list-1yGQl9q2wIO.search.12
12,职位详情,全栈开发工程师,为宏智能,杭州,9-14K·13薪,1-3年,学历不限,https://www.zhipin.com/job_detail/b33663d07283d65903B_0968F1ZY.html?securityId=cnMtaTL4BZCmA-x1dqAFYYJnIe__hGRABCO1oalPfOfLPgJC9G6KbzgeHhSQmzn940O-5zln-1fGX7_Q-XA2SMah8wEdLPWVGqlr8OUvPIu8B4DpdNfWDGSCEyvM8E0hOMFAmuz1nfU~&ka=search-list-1yGQl9q2wIO.search.13
13,职位详情,杭州-全栈开发,耀辰捷,杭州,10-15K,5-10年,大专,https://www.zhipin.com/job_detail/265b7a2e681f2eba03J-3tq5GFFY.html?securityId=IVvB7m5ju7sZ5-71awMeUmdROdL_sGGDRc4AfO4AE9Z2LqMzxI2bOuNSLm5KvH8LvRuvJV5TXTrAJWxPd8hrEsxI7UvoIX27zzOr7pDUb9c7OLoWl-SxixRlOsC-wy595_LmooTVUp6APg~~&ka=search-list-1yGQl9q2wIO.search.14
14,职位详情,Java全栈开发工程师,紫鹏科技,杭州,6-7K,1-3年,本科,https://www.zhipin.com/job_detail/450de82f343dbf1303Z82du4FVpW.html?securityId=LCU4KdI2N8Iy9-81Q0af940JErV45W3pLl_G__obrf_j28Wuv-mhA8kmnzjswTs9DhTzn3X1ftpS08tpyIWjrw_Mkb2ensFSyIBG1gARU_Dk7cHVZhEXH2YH_c8Zr4PtVtr9jCJGy1TfFg~~&ka=search-list-1yGQl9q2wIO.search.15
15,职位详情,全栈工程师（python),添遇网络,杭州,10-15K,1-3年,本科,https://www.zhipin.com/job_detail/d2b49a0c8ddf2eca03F62NW9FlpU.html?securityId=To5OxbZ1rdo9a-V1MejHmhIo5z-PwyOy_NWMKQ3QBXRWcJZtj0TF8cnioMoItiYmpbrxEbrgkMvWm99WutCCS6B9Fe7bwBMKEiDl4dOESan1Vs5Nl9rZSxdtI3Txk0a1uewEVOiz4tT6jg~~&ka=search-list-1yGQl9q2wIO.search.16
16,职位详情,AI全栈开发工程师（实习）,不鸣科技,杭州,200-250元/天,nan,本科,https://www.zhipin.com/job_detail/97eb3ec64d247daf03B_2tu1FVFR.html?securityId=iJiVOTpFEvULz-n16pj21Yl2F6yits1DrodsxBMdAl1UsNF5qJI-y0ayOT6th4Zf8IDGwqptuBcnXaMqm5ozmRHViS3Tv2j_Yp8nooELLXds8fE22MdESEhbDwRJiZlMDTXu_coIyMT6_ldLOHZ1YnPyoy1VHv2GUV4iCTDRsX0iIOQE&ka=search-list-1yGQl9q2wIO.search.17
17,职位详情,初级全栈工程师,上海贝津铭科技,杭州,13-20K,经验不限,学历不限,https://www.zhipin.com/job_detail/be040053f389c7b903J42dS5GFtT.html?securityId=3AVmeRAUBizeD-41PkDS8ggRO6yMCVfgbNa_tK0WWdquTh0fI5RZK8XewhuBGhEh6UkFscq-euMTKOQcmZMGjngyl9PmX725SQ-Uqdww65bzdZny3FDrov9vpvCReOV1oAM0Vg36nOrl9g~~&ka=search-list-1yGQl9q2wIO.search.18
18,职位详情,全栈工程师（php+vue）（南京）,南京寻优,杭州,13-20K,3-5年,学历不限,https://www.zhipin.com/job_detail/e4c1b90119b8f8bf03Fy29y9ElNR.html?securityId=TnBLe6REKkupr-81fH2dERPRIr-4LV67ButvADpt_nlkxnCKNculYxpGSElw-IQhWpo6dmbvmi6Dbq7TNJkgFQABAuxVczIsQkak1gmvv6GNpepTHXwZOtfdK_fm2oAhtOlFah0800PEnw~~&ka=search-list-1yGQl9q2wIO.search.19
19,职位详情,全栈开发专家,中僖控股集团,杭州,9-11K·13薪,3-5年,学历不限,https://www.zhipin.com/job_detail/e439c24787b2c2941H172dm0GVBU.html?securityId=3SzksZVg4V5yV-m1w1vD0qTDESINe4XqwY3zRTJ4ir0_0zwpvdQsSuMB4rf64pkuhLvTnE3XRor0Iysu74W3LyfMWacMOU2aHM7a3bH0LsXGEeQuB7a9PuifU1OZ9w8acTwnVvcL0QkGwg~~&ka=search-list-1yGQl9q2wIO.search.20
20,职位详情,Agent全栈开发实习生,有赞,杭州,200-250元/天,nan,本科,https://www.zhipin.com/job_detail/ab8987dc9253945903J53d6_GFNR.html?securityId=VqGIXGMgqqSXe-v1gwy7Ybm_RvlLypOOH9N4BN6CU3PrL6C0eSx0rb_fRZYnvtr8RObn5mSXrD-_feYc6uc1aK9iMYrZz2oHoZb1I62Hz0V_7krTH3fG7kkBica7yNOWjVEbode1X2A~&ka=search-list-1yGQl9q2wIO.search.21
21,职位详情,全栈开发工程师,智微信科,杭州,10-15K,3-5年,本科,https://www.zhipin.com/job_detail/cfa1ff5d7669caaf03Z92d-9F1FX.html?securityId=Ot2u942oSlMPD-v1jNxkbEH-TVqyo8v0Qg6QBG-yW4eff6VP6qRLTWOWdCjwFdxm_0IR9WKNFkIsxuIX6hBT0htqDO38gnxxsjCHHrNC6kXhLoldM_xqJkJ9olkzxYtOe8Yn7ANGq1I~&ka=search-list-1yGQl9q2wIO.search.22
