索引,职位名称,公司名称,薪资,工作经验,学历要求,工作文字信息,URL
120,全栈开发工程师,杭州小黑力科技,16-26K,3-5年,本科,"作为核心全栈工程师，你将参与： 
1. 前后端开发：从0到1搭建MVP，实现用户认证、数据交互、自动化任务调度等核心功能。 
2. 第三方集成：对接LinkedIn API（或合规替代方案）、OpenAI API，优化请求效率与稳定性。 
3. 数据管理：设计轻量级数据库（如PostgreSQL），支持客户数据存储与导出。 
4. 性能与安全：确保高并发场景下的稳定性，落实用户数据加密与合规性。 
 技术栈需求 ：
后端：Node.js/Python（Django/Flask），熟悉RESTful API设计、任务队列（如Celery/RQ）。 
前端：React/Vue.js，具备响应式布局与状态管理经验。 
数据库：PostgreSQL/MongoDB，了解ORM（如Prisma/Sequelize）。
DevOps：AWS/Vercel部署经验，熟悉Docker基础。 
加分项：有爬虫/自动化工具开发经验，或LinkedIn/Salesforce等平台集成经历。 
 我们期待你 ：
对B2B SaaS产品有热情，能独立解决问题并快速迭代。 
注重代码可维护性，擅长平衡开发速度与技术债务。 
 加分：有AI应用开发或营销自动化工具经验。",https://www.zhipin.com/job_detail/6f27602148027e6b03B52Nu0GFBQ.html?securityId=YwrnCAKyBRLVi-M1XveZExm9DRlxvRhOupWzIbkR6CrKt-ascOjZbUWqmXfw5mn52h2ySogckdqPzwBvNqPBkitUC8ZakZHEXFqw5JZVK4A-Pnk8Gi2PgFz2hW21m_z_R5lmU46Kb7ihWw~~&ka=search-list-1yGQl9q2wIO.search.121
121,java全栈开发工程师,松格科技,7-12K,1-3年,本科,"JAVA全栈开发工程师招聘要求
【岗位职责】
	1.	参与系统核心模块设计与开发，承担数据库设计、开发联调、自测等工作，保障项目顺利上线；
	2.	按照规范与设计文档完成模块拆分、组件沉淀，并输出相关技术文档；
	3.	独立完成系统分析与设计任务，主导模块开发，确保项目整体进度与质量；
	4.	开展技术预研和技术难点攻关，保障系统的高可用性、稳定性和可扩展性；
	5.	负责所属系统的日常运维及功能升级，及时修复软件缺陷；
	6.	跟踪项目上线效果，理解业务痛点，提出技术解决方案，助力业务发展。
【任职要求】
	•	统招本科及以上学历，计算机相关专业
	•	3 年及以上大型分布式项目 Java 开发经验，有高并发应用开发经历者优先
	•	扎实的 Java 基础，熟悉 JVM、微服务架构、多线程、并发编程、网络编程等；
	•	精通 Spring、Spring Boot、Spring MVC、MyBatis 等常用开发框架及其原理；
	•	熟悉分布式系统架构，掌握缓存、消息队列、服务注册发现等核心技术；
	•	掌握 Redis、Nacos、RabbitMQ、RocketMQ、XXL-Job 等中间件在高并发场景中的应用；
	•	精通 Linux 操作系统和常用命令，有 Docker、K8s 实际使用经验；
	•	熟练使用 Oracle、MySQL 等大型数据库，具备 SQL 编写与性能调优经验。
	•	熟练掌握 HTML、CSS、JavaScript，了解浏览器兼容性与性能优化；
	•	熟练使用 Vue 等主流前端框架，掌握组件化开发与前后端分离技术。
	•	熟悉单元测试及接口测试流程，能使用 Postman、JMeter、自动化测试脚本等工具；
	•	具备 Python/JavaScript 编写脚本经验者优先。
	•	具备良好的系统架构设计与优化能力；
	•	优秀的问题分析与解决能力，能够独立推动项目落地；
	•	熟悉敏捷开发流程，有团队协作精神；
	•	英语读写能力良好，能阅读英文技术文档，具备基本英语沟通能力者优先。
	•	有电商平台、金融支付系统开发经验；
	•	具备稳定性保障、性能调优等系统工程经验；
	•	熟悉 DevOps、CI/CD、自动化部署体系。 杭州松格科技有限公司成立于2011年1月，专业从事现代智能系统装备、制造业ERP系统、MES系统、Andon系统和RFID工业4.0系统的研发、销售与相关技术服务。目前客户已经分布到北京、江苏、浙江、上海、安徽、广东、深圳、广西和山西等地。在高校设立了科研平台，保障了公司的人才储备。 
公司拥有一支高学历、高素质的技术队伍，“严谨、诚信、创新、一流”的服务理念始终是公司的发展宗旨，公司及其在国内的多家办事处与我国多家汽车生产厂、发动机厂、汽车零部件厂以及一些知名通用工业企业保持着紧密愉快的合作关系，对精益生产管理、制造业加工生产、装配工艺和GPRS智能物流系统有着深刻的理解，其优秀的服务意识和服务水平在行业内有口皆碑。服务领域重点在汽车、摩托车、内燃机、拖拉机、工程机械等行业以及食品、烟草和石油化工等领域，尤其是MES系统、Andon系统、工厂管理系统的设计和安装调试领域、系统集成方面积累了大量丰富的经验，包括现代机电智能装备及工业机器人系统，并将其成功地应用在实际装配生产线中。丰富的经验为广大客户提供良好的技术服务和优质的产品。在国内外拥有众多的客户和合作伙伴，并拥有良好的业绩和声誉
公司的目标是为广大的制造型企业降低经营成本、提高经营效益，从而为建设环保型社会做出自己的贡献。选择我们的产品，其选择的意义不仅限于精密、耐用和高效率，最重要的是您选择了一家与您成功相伴相随的信誉伙伴。每一名公司成员，无论是销售工程师、技术工程师还是服务工程师，都将全心致力于您的事业，让您创造最高的生产效率和最优秀的产品质量！",https://www.zhipin.com/job_detail/36bb6720072f08a503d929W6EltX.html?securityId=Bop4v18cSi_DT-t1Hg1U0bqWTmrpQ6iI9HyIWM964XIt9vjcK40NPwCo46VYSRVCR65dixYPtG_aoMs3righYTDrAuNCdxq2Ob9-Kib618IOsoIwjBv88diCyuMBW1hRGcNRVh_jpHLDnw~~&ka=search-list-1yGQl9q2wIO.search.122
122,全栈工程师,鲷鱼科技,10000-20000元/月,3-5年,本科,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：月结
招聘截止时间：2025-09-16
远程开发岗位 人要在杭州 每个月线下需要约见 需要会小程序开发 有大厂经验优先 兼职/全职均可
岗位职责：
1. 负责鲷鱼科技产品的全栈开发，包括前端与后端的协同工作；
2. 设计高效、可扩展的系统架构，确保代码质量和性能优化；
3. 与产品、设计团队紧密合作，理解需求并转化为技术解决方案；
4. 持续优化应用性能，提升用户体验，确保系统的稳定运行；
5. 参与技术难题的攻关，推动技术创新和架构改进。
任职要求：
1. 精通前端技术栈（如React/Vue等），同时掌握后端开发语言 go 语言；
2. 熟悉数据库设计与优化，了解RESTful API开发及云服务集成；
3. 具备良好的代码规范意识和单元测试能力，熟练使用版本控制工具；
4. 对新技术有强烈兴趣，能够快速学习并应用于项目中；
5. 优秀的逻辑思维能力和团队合作精神，能够在压力下保证任务按时交付。",https://www.zhipin.com/job_detail/4cc48f6db52a731a03J639y7GVNX.html?securityId=eY9nNPXg5xdSM-51-5sl7ChFUxMerKxk9EEv13Dodo45yrw1kX1J1Y2vqebTzk11MwcPuPLzn-TeHYGgNN9FcnjLoKODS2pQ0kqACL_PsXdv6e47EGY4RxOX42xOBvlbty1u5MbJXLiX&ka=search-list-1yGQl9q2wIO.search.123
123,全栈开发工程师,杭州龙特星辰科技,8-13K,3-5年,本科,"请注意！！！本司将于2025.6.20日搬迁至余杭区良渚街道虹良巷1号""优景科创园（城北万象城附近）""。
1、运用 HTML、CSS、JavaScript 及 Vue/React 等前端框架搭建用户界面，结合 Java 或 Python 及相关后端框架（如 Spring 系列、Django、Flask 等）构建后端业务逻辑，使用 MySQL 等数据库完成数据存储与管理，实现项目的全栈开发。
2、利用 Git 进行代码版本管理，遵循规范的代码分支策略，确保团队代码的有序开发与集成。
3、借助 Maven（Java 项目）或 Pip（Python 项目）进行项目依赖管理和构建，优化项目结构，提高开发效率。
4、使用 IntelliJ IDEA（Java）、PyCharm（Python）等开发工具进行代码编写、调试和优化，保证代码质量。
5、进行云服务器（如阿里云、腾讯云）的部署与配置，完成项目从开发环境到生产环境的迁移，保障系统顺利上线。
6、负责基建运维工作，包括网络架构搭建、服务器性能优化、安全防护等，确保系统稳定运行，及时处理各类故障与突发问题。
7、利用 Redis、RocketMQ 等中间件优化系统性能，提升系统的并发处理能力和响应速度。
8、若有视频合成相关需求，运用 Java 或 Python 相关库（如 FFmpeg 相关库）完成视频的剪辑、拼接、特效添加等合成工作。
9、借助 AI 辅助工具提高开发效率，优化代码质量，创新开发流程。
严格遵循敏捷开发流程，参与每日站会、迭代规划、回顾会议等，与团队成员协作完成需求沟通、技术方案制定、文档编写等工作。
任职要求：
1、本科及以上学历，计算机相关专业优先。
2、0 - 2 年全栈开发经验，熟练掌握 Java 或 Python 语言，熟悉前端、后端、数据库、中间件技术，有云服务器部署和基建运维相关经验者优先。
熟练掌握 Git、Maven 或 Pip 等工具的使用，熟悉 IntelliJ IDEA、PyCharm 等开发环境。
3、掌握 Linux 系统操作，具备一定的网络知识和安全意识。
有视频合成相关项目经验者优先，了解 FFmpeg 等视频处理工具的使用。
学习能力强，能够快速掌握新技术；沟通协作能力良好，能在团队中高效工作。
4、具备问题解决能力和抗压能力，能应对项目中的各种挑战。",https://www.zhipin.com/job_detail/9da383bf90f2390503d83t25EFdU.html?securityId=DbmUwkWkl2FMX-Z1BI0Hj0EC0vIi4Qs8tB-cXlkjOUb6bjh5HZsAiVqP6w5gijSmg6O65UBcn_zBgzN0aXzMIJ6AGDrID126AUkQBQWFjjY68NsVD8G2vQ5NeEzeSS5rRy9qyvC9otCL&ka=search-list-1yGQl9q2wIO.search.124
124,全栈程序员,杭州暴燃熊商贸,10-15K,经验不限,大专,"精通ivx优选，其他的工作效率高优选
小程序，H5，App开发",https://www.zhipin.com/job_detail/cd774c9152c379111H143NS1E1ZT.html?securityId=JHJMXExP8Vytv-41a5JXAPGKNq4IupkK6HaaRgSnz_liZtMMBOmcAkeUIqgxXEPNw8fygddmPEqvmgZkxZywFbnup22G8dHySMVPtMuRAT6nhsRNvKA-kq2w7HdOsGK9irhsTFT93nzt3A~~&ka=search-list-1yGQl9q2wIO.search.125
125,php全栈开发工程师,亿家千城,15-20K,1-3年,本科,"岗位职责：
1、独立完成整个项目各个功能模块开发，构建清晰代码;
2、参与项目的系统需求分析与设计，深刻理解所负责产品的业务逻辑;
3、根据业务需求，与开发经理、产品经理、业务运营等沟通协作;
4、负责编写技术文档;
5、有很好的思维逻辑和项目理解能力和沟通能力;
6、良好的沟通表达能力，执行力力强，对待工作认真严谨、高度负责。
工作职责
1、精通PHP7及以上PHP开发，要求技术全面、具备程序设计、架构能立;
2、熟悉thinkphp/Laravel框架。
3、熟练使用mysql查询优化和数据库设计；
4、熟悉Nginx，可以独立配置LNMP应用环境，熟练使用Linux系统，熟悉git版本管理工具的使用;
5、熟悉PHP的API开发，微服务架构方案，有分布式系统开发经验者优先;
6、代码规范，工作责任心强，具备良好的团队合作精神，有较强的沟通、协作能力，能够承受一定的工作压力；
7、会使用chatgpt；
8、熟练掌握宝塔部署、防护等工作
朝九晚六，双休",https://www.zhipin.com/job_detail/d900486ab765b1b81HJ42dm4FlZQ.html?securityId=d7oA18kOWYdL3-21y42Aowb0Al99CJRwMWjLJbWsB-qHg31dHNr3en27ZZ2LKM8KUVs0-TchetxYyW1XSiofpOA_Q1XxX6dAbnYWuWqBFki74CjTp5n8TLnAgCyRuGrqTRZZe9zIUnQlCA~~&ka=search-list-1yGQl9q2wIO.search.126
126,PHP&uniapp全栈开发工程师,小鑫科技,12-20K·13薪,3-5年,学历不限,"职位描述：
1. 负责产品的需求分析及开发工作；
2. 根据项目计划按时完成编码和单元测试工作；
3. 解决研发过程中的遇到的问题和技术难题；
4. 编写易读、易维护、高质量、高性能的代码。
任职要求：
1. 五年左右开发经验，计算机相关专业；
2. 熟悉 PHP，理解面向对象编程，熟悉 thinkphp 优先，熟悉支付接口优先；
3. 熟悉 MySQL，能够根据需求独立设计数据库结构，拥有数据性能调优经验者优先；
4. 拥有设计系统 RESTful API 接口的经验、对数据加密传输、存储有经验者优先；
5. 熟练使用 Redis，熟悉缓存机制；
6. 熟悉html5，css3，h5等技术，能够熟练做各种端末的适配
7.熟悉uniapp或者Vue全家桶（:Vue+Vue-router+Vuex+axios）， 熟悉各种组件以及能够独立进行封装组件
8. 对新技术或者开源项目具有较强的学习能力、使用能力；
9. 有良好的编码风格和文档习惯。",https://www.zhipin.com/job_detail/abb3a2daab1c28231Xd909S0FVBT.html?securityId=CuxqQoUKk2djf-s1KV-DSB3xh1C910QSNlIUTd5ijYi1yq2FoM_AO6tjdNh53GmiFEfxXyPqVltSIer9RoXJm0PfSrEDfcbSqdZjm7f9tRad1tX1XHF-5IHDecaNlYnilaeXj6Fe5MJw&ka=search-list-1yGQl9q2wIO.search.127
127,全栈开发工程师,沃瑞电力,7-10K·14薪,1-3年,本科,"岗位职责：
1、负责公司新项目的JAVA开发工作，以及现有项目的代码维护。
2、以Java后端开发为主，需要兼职WEB前端页面开发。
3、协助公司项目的现场部署及配合调试工作。
任职要求：
1、本科及以上学历，2-3年工作经验；
2、熟悉Java语言；基础知识扎实，熟练使用Springboot等框架进行开发，熟悉使用SpringCloudAlibaba框架；
3、熟悉linux操作系统；熟悉达梦、Redis等数据库；熟悉RabbitMQ消息队列。
4、熟悉前端基础技术（HTML5、CSS3、Javascript等），熟悉Vue框架，有相关项目开发经验；
5、有电网专业项目开发者优先。",https://www.zhipin.com/job_detail/995b30ecd443e57a03By39-7EFJT.html?securityId=DMIMtq4CQws4P-t1j4fjQ8qOYuwvC4Dg6ElhNZEigqtfoXfi7pCCrYWXWQoF6nexhn5X_oe42MelFifEyqIJsrAEn1WFs4bpuTvWgl_mQT5a8o6bdApNmUfwSkWqZrR6CFwIFiOeug~~&ka=search-list-1yGQl9q2wIO.search.128
128,资深全栈开发工程师,杭州事不怡驰信息科技,150-200元/天,3-5年,大专,"工作周期：2025-06-18~2025-06-24
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：日结
招聘截止时间：2025-08-07
公司的小程序开发了90%还有10％的bug修复,想找一个人过来到公司现场修改，杭州 拱墅区 萍水街地铁口
1、负责公司微信小程序的研发；
2、与项目团队中各方面人员能够紧密结合，改进公司产品的易用性、优化界面以及小程序性能等；
3、关注小程序方面的改变，提炼有利于公司产品的特性；
4、关注前端方面的技术发展，会利用前端技术提升工作效率。
前端unnapp3
后端python
职位要求：
1、大专及以上学历，计算机、通信及相关专业；
2、熟悉wxml、wxss等，能够高效高质量完成小程序的页面布局；
3、对JS有较深入的理解，掌握json的数据格式处理等；
4、HTML、CSS、JavaScript基础扎实，了解HTTP协议以及浏览器原理；
5、熟悉jQuery、VUE.js、Angular.js、React.js等常见框架，了解AMD/CMD规范；
6、对于小程序的storage和AppData有操作有一定程度的了解；
7、能够快速了解一个产品的特性，懂得用户心理来满足产品的交互设计，并会考虑如何提升用户体验；
8、具备较好的问题分析与解决能力，能够独立处理问题。",https://www.zhipin.com/job_detail/6eae5be5fe42fe7003By3Nm_ElJX.html?securityId=A1HDtpir9w6JL-v1OacoJvOwN66e8MuUKDJ3IdVDNv9pASvDA6mpFhOf-SXkJKFfrIoiqS40kvuHU8y92IApcFN03A3mED7GHLm1kAFipmJOk7EtWVgF924bDlY65D7Zq1ZY6mRvBO9bsw~~&ka=search-list-1yGQl9q2wIO.search.129
129,全栈开发工程师,中智达,11-20K·14薪,1-3年,本科,"岗位职责：
1.全栈开发与交付
基于 .NET 6/7 + Vue 2/3负责公司核心业务系统的前后端一体化研发：
2.文档与规范
撰写和维护 API、数据库、组件及部署文档，推动代码评审与技术分享，沉淀最佳实践。
3.跨职能协作
与产品、测试、运维紧密沟通，快速定位并解决缺陷、性能瓶颈及线上故障；
参与需求评审，评估技术可行性与排期，确保高质量迭代交付。
4.技术预研与创新
跟踪 .NET 与 Vue 生态的最新特性，在项目中落地并提升团队技术竞争力；
参与难题的攻关，通过技术创新解决实际问题，为公司的技术发展贡献力量。
任职要求：
1. 1–3 年 .NET+Vue 开发经验，具备良好编码规范与面向对象设计能力；
2. 熟练掌握 C#、.NET 6/7、ASP.NET Core，理解依赖注入、中间件、EF Core ；
3. 熟练使用 Vue2/3 + TypeScript 进行组件化开发，掌握 Vite、Pinia、Vue-Router、AntDesignVue 等生态工具；
4. 熟悉常见数据库,例如:MySql/SQLServer/Oracle等，并熟悉相关的SQL优化技巧；
5. 掌握 Git 工作流、Docker 基础命令及 CI/CD；
6. 了解微服务、分布式缓存（Redis）、消息队列（RabbitMQ/Kafka）及 Kubernetes 基本概念优先；
7. 大学本科及以上学历；",https://www.zhipin.com/job_detail/be2b79cf2a701e0903J43tu7GFNW.html?securityId=mQ0pim_qcXIy2-Y1XU8ZoSpKrVjbAGFx0DN0D2QZW8GSjT_yJ2jiJkp-5dmS_od17Y05JqVl6E9UvqTjUMsCblIxvb0_9N-K3jgfFce2cvPg9mn92jtbIasXQBDDLS-QF_3ZcRezSa0~&ka=search-list-1yGQl9q2wIO.search.130
130,全栈开发实习生,杭州多米拉法人工...,150-200元/天,nan,本科,"招聘岗位：全栈工程师(JavaScript/TypeScript)
- 经验要求： 0 ～ 5 年
- 工作地点： 杭州
- 职位类型： 实习转正机会
岗位职责：
- 负责实现高质量的用户交互逻辑与 API 设计与开发(JavaScript/TypeScript)
- 配合产品和设计团队，快速迭代和上线产品功能
- 编写清晰的技术文档和单元测试，保障代码可维护性
- 持续学习并应用 AI 编码技术，逐步打造 AI 编程团队
基础要求：
- 熟练掌握 JavaScript 和 TypeScript，理解异步编程、模块化、事件机制等核心概念
- 有主流前端框架的项目经验(React、Vue、Next.js 等任意一种)
- 掌握 Git 等版本控制工具，有团队协作经验
- 能阅读英文技术文档，具备高效的自学能力
加分项(非必须，但会优先考虑）：
- 有 AI 编程相关经验，如使用 OpenAI API、LangChain、transformers.js、或其他大模型调用经验
- 使用过数据库(PostgreSQL / MongoDB / Prisma / Supabase 等)并了解基本的数据建模
- 有完整独立开发或部署项目的经验（个人项目、开源作品、技术博客等）
- 熟悉 Docker、CI/CD 流程，或了解服务器部署流程
- 对 Web3、区块链、智能合约等方向有兴趣或实操经验
- 有良好的审美或产品意识，关注用户体验
我们希望你具备：
- 对技术充满热情，愿意持续学习和分享
- 逻辑清晰，能独立思考问题并提出解决方案
- 重视代码质量，有良好的编码习惯
- 能够与团队高效协作，接受反馈并快速成长
- 每周至少在岗4天(实习生)",https://www.zhipin.com/job_detail/37ce147c12bb4eb403F-09W0FVpT.html?securityId=M58flUyhCBOl1-e1wOObe-_kQUIys3EsJ32TkBDc1cgIiH6RgF8wxN_PUwJ2Kqd-Da8o2qwoxJXRVjS2ISn2eYJxZQE6r3Oyh7x07uEiz_8JPglisk3MwRPGcYazAjrXcLtDCsJZgmrI&ka=search-list-1yGQl9q2wIO.search.131
131,全栈工程师—杭州初创团队agent方向,某人工智能公司,40-70K,经验不限,硕士,"岗位职责：
核心架构设计
主导 AI Agent 底座（如自主智能体框架、多模态交互引擎）的整体架构设计，涵盖对话管理、任务规划、工具调用、记忆增强等核心模块。
开发可复用的通用 Agent 框架，支持私有化部署与云原生环境（如 Kubernetes）的弹性扩展。
技术攻坚与优化
整合大语言模型（LLM）与强化学习（RL），实现 Agent 的动态决策与持续进化，例如通过 PPO 算法优化任务调度策略。
设计高性能向量检索系统（如 HNSW+IVF 混合索引），支持千万级知识库的毫秒级响应。
全链路开发与落地
从需求分析到系统部署，完成 Agent 底座的前后端开发、性能调优与监控体系搭建。
开发多模态交互接口（文本 / 语音 / 图像），支持跨平台（Web / 移动端 / 嵌入式设备）部署。
行业场景深度整合
与业务团队协作，将 Agent 底座落地至金融、医疗、制造业等垂直领域，例如开发医疗合规的诊断 Agent 或制造业设备预测系统。
对接企业级工具（如 ERP、CRM），设计统一的 API 协议（如 OpenAPI 3.0），降低第三方系统接入成本。
任职要求：
一、技术能力
AI Agent 核心技术栈
精通 LLM 微调（LoRA、QLoRA）与推理优化（KV Cache、FlashAttention），熟悉至少一种开源框架（如 LangChain、Autogen）。
掌握记忆增强技术（向量数据库如 Milvus/Pinecone、时序数据库如 TimescaleDB），实现对话历史的分层存储与快速检索。
熟悉任务规划算法（HTN、状态机），有强化学习（如 PPO）在 Agent 决策中的实践经验。
全栈工程能力
后端：精通 Python/Go，熟悉 FastAPI/Tornado 等高性能框架，具备分布式系统设计经验（如微服务拆分、服务网格）。
前端：熟练使用 React/Vue，能够开发 Agent 交互界面与可视化监控看板。
云原生：掌握 Kubernetes、Docker，有 AI 模型轻量化部署（如 TensorRT、ONNX Runtime）经验。
行业技术整合
了解金融合规（如 PCI DSS）、医疗数据隐私（如 HIPAA）或制造业协议（如 Modbus），能够设计符合行业标准的 Agent 系统。
熟悉 RPA 工具（如 UiPath）或低代码平台（如 Zapier），实现业务流程自动化。
二、项目经验
必选项
至少主导过 1 个 AI Agent 相关项目（如智能客服、自动化运维），具备从 0 到 1 的全链路研发经验。
有 LangChain/Autogen 等框架的深度定制案例，例如替换默认 LLM 为私有化部署的 Claude。
加分项
参与过千万级用户规模的 Agent 系统开发，QPS 峰值超过 5,000。
开发过多模态 Agent（如支持 OCR+LLM 的文档解析系统）。
三、软技能
问题解决能力：能够快速定位复杂系统（如 LLM 推理延迟、向量检索效率）的瓶颈，并提出优化方案。
跨团队协作：与算法工程师、产品经理、行业专家高效沟通，推动技术方案落地。
持续学习：跟踪 AI Agent 领域的前沿技术（如多智能体协作、元学习），并应用于实际项目。",https://www.zhipin.com/job_detail/88aab01d7bf9cf2903d-3Nq9GVVR.html?securityId=FCND2pfOiYt2N-m1lCGR6TZNCI-CCBtg8Ep0NVX-LLMD9YUGPwfvdA-EO6Ud89Aw_mL6pA0vS8f6MGnl6PKOHAiisiFEJzup08L_pl6eOwD0Rio6rWz1JHXynmQIbzH8LB5Oy8o4F2tJAg~~&ka=search-list-1yGQl9q2wIO.search.132
132,高级全栈开发工程师,千烈科技,8-11K·13薪,3-5年,本科,"非精通后端语言PHP者勿扰谢谢
全栈工程师开发职责：
1.参与项目的需求分析、概要设计、详细设计，技术文档的编写；
2.执行开发规范，负责系统功能开发，解决项目和系统中遇到的技术问题、性能问题，参与代码评审；
3.协助完成项目的测试、系统交付工作，对项目实施提供支持。
4、参与系统架构设计的原型搭建、方案制定、技术选型，参与制定并落实开发计划，协助技术经理对项目进行进度、成本和质量管理，保证项目按时优质上线;
5、协助项目经理提高团队成员的工作效率和质量积极技术分享，与团队共同提升专业技能。
6、进行开发系统后的相关运维工作
要求：
1.精通PHP的开发，有Java开发经验优先
2.熟悉PHP-Laravel、Eloquent框架，熟悉Blade模板引擎
2.掌握GNU Linux；熟悉MySQL，并掌握常用性能优化技巧
3.熟练运用MVC框架、熟悉OOP编程思想、具备独立开发的能力，有产品化思路
4.熟悉Redis、MongoDB等NoSQL技术，有大规模系统设计和开发经验者优先
5.熟悉Mysql、SQLServer数据库，熟练掌握SQL调优和数据结构设计
6.具备前端的经验，了解css, javascript, jquery，Vue等
7.具备商城及供应链类系统的开发经验",https://www.zhipin.com/job_detail/5f6db25663215f871H1y0tS9ElJY.html?securityId=niXmcNY22TJ35-G11OBF7gr4BK2GGmil2X9-Eeb1DwRe9XPUru7l-r6lhnI75PfCMe9zCtg6GzIsm4L1R3PLdQolVjaHlWG7MU-CYymBVA9jC3F-NgLCWn-QqC5nMYtz-wyCcQtlwVO0&ka=search-list-1yGQl9q2wIO.search.133
133,全栈开发工程师,信及达国际,15-30K,3-5年,本科,"公司项目高速发展阶段，待遇优厚，晋升空间大，有机会成为核心创始成员。目前需要一名经验丰富的全栈开发工程师，负责从前端到后端的全链路开发，参与产品设计、开发和优化，推动技术落地并提升用户体验。 
1、2-3年以上开发经验;
2、掌握前端、后端的开发技术（html、css、vue、java、mysql、oracle数据库等）；
3、能独立完成系统架构设计、功能模块的前、后端全栈开发；
4、并对系统开发过程中的技术攻关和性能调优；
5、有服务端开发经验；
6、需要安卓开发经验
任职条件:
1.执行力强、工作认真负责、细致、敬业、责任心强；
2.有良好的沟通能力、能承受工作压力，能独立工作并具有团队协作精神。",https://www.zhipin.com/job_detail/b9653d3c84c0bad703F9096_E1FQ.html?securityId=y3sof0cFO6OBm-A1EjgTs8-xawbemCapTOOdorOClZoFvAA-paA8T-IEC0y8edwGrRJ8YzMIzQ6TI5Bri3LoKh88t92TNpEyklTmz15TAKRjvAvS2NJPF5MQjzUQYrxc9jpth231YmJ8&ka=search-list-1yGQl9q2wIO.search.134
134,全栈前端开发工程师,杭州盗火者光电,19-27K·14薪,经验不限,本科,一、岗位概述我们正在寻找一位有热情、有学习能力的偏前端全栈开发人员，该岗位将重点运用 C++ 进行开发，并借助 AI 工具提升开发效率与产品质量。需要具体承担以下工作：1．根据项目具体要求，承担开发任务，并按计划完成任务目标2．与产品经理及设计师共同完善移动/桌面应用的交互设计和用例设计3．根据需求及用例图和视觉稿进行应用软件程序设计、开发及测试二、核心要求（一）学习意愿1. 强烈意愿学习 C++ 编程语言，能够自主安排学习时间，积极掌握 C++ 在前端及全栈开发中的应用技巧。2. 对新兴的 AI 技术在开发领域的应用有浓厚兴趣，愿意不断探索如何将 AI 与 C++ 开发相结合，以优化工作流程和提升产品性能。（二）技能要求1. 前端开发基础(1) 熟悉 HTML、CSS，能够构建结构清晰、样式美观的前端页面。(2) 掌握 JavaScript，可实现基本的前端交互功能，如表单验证、页面元素操作等。2. C++ 开发能力(1) 具备初步的 C++ 语言基础，了解变量、数据类型、函数、类等基本概念。(2) 能够阅读和理解简单的 C++ 代码，在指导下参与 C++ 项目的前端部分开发。(3) AI 应用能力，了解常见的 AI 开发工具或平台，如 Cursor。能够运用 AI 辅助设计工具（如 Midjourney 等）生成前端设计素材3. UI 设计审美能力，能够独立完成简单页面的 UI 设计，包括界面布局、色彩搭配、图标设计等。熟悉至少一种 UI 设计工具，如 Sketch、Adobe XD、Figma 等，能与设计师对接的设计稿（三）软性要求1. 工作细心负责2. 良好的沟通能力和合作精神，能够与团队成员、产品经理等有效沟通，理解项目需求并及时反馈工作进展。3. 具备较强的问题解决能力，面对开发及设计过程中的问题，能够积极思考，通过查阅资料、请教他人等方式寻求解决方案。三、加分项1. 有前端全栈项目经验，即使开发语言不是 C++，也能展示对全栈开发流程的理解和实践能力。2. 了解响应式设计，能够确保页面在不同设备上（如手机、平板、电脑）都有良好的显示效果。,https://www.zhipin.com/job_detail/b2b09660ea75266303dz29m5EFRV.html?securityId=mRmLvrDXVNx2b--1PIC8SWytXIHEqtOcizmJDfoNJtRUT0tbMLC2SO3mzz8DQ90c0417bxglV7xQACkA-_JUu2QuslR9nLx5lIZvCMNhTN18HtIP4B4vRDwhtwP1LA7PuR_zbhVKDaHE-Q~~&ka=search-list-1yGQl9q2wIO.search.135
135,java全栈工程师,杭州保芃达科技,10-15K,1-3年,大专,"岗位职责: 负责和项目方沟通需求，完成指定需求开发
任职要求: 熟悉Java ，有一定全栈开发经验，可以完成一般性的前后端工作
加分项：熟悉主流低代码开发平台",https://www.zhipin.com/job_detail/785539de367c262603J62966FFNT.html?securityId=YaRSdgsTrWPi_-Z1aqxDA4vTcXEgN-SRFlayHzqq2dv80CYwIP3r4s-cQuIYh_hZFMQrDlSO50PgjvZB_WD8Eg01JQFMRcia8i0g22Ccpw6-c-JFnhAh2dEEqtU1OTNwJOPn7lhW5Mg~&ka=search-list-1yGQl9q2wIO.search.136
